datetime,code,open,close,high,low,vol,amount
2017/4/18 13:35,300,3485.07,3485.97,3486.7,3484.88,229978.64,2299789312
2017/4/18 13:30,300,3484.98,3485.3,3485.53,3483.95,213057.26,2130575360
2017/4/18 13:25,300,3483.42,3484.81,3484.84,3483.05,219443.7,2194440192
2017/4/18 13:20,300,3484.25,3483.3,3484.29,3482.1,179906.64,1799069696
2017/4/18 13:15,300,3484.15,3484.33,3484.8,3483.49,195797.56,1957978112
2017/4/18 13:10,300,3483.17,3484.04,3484.1,3482.34,187196.8,1871970304
2017/4/18 13:05,300,3482.63,3482.76,3483.99,3482.58,187211.88,1872121856
2017/4/18 11:30,300,3480.9,3482.41,3482.46,3480.34,134267.8,1342681088
2017/4/18 11:25,300,3480.74,3480.25,3481.47,3480.25,139163,1391632384
2017/4/18 11:20,300,3481.72,3480.67,3482.19,3480.67,174456.08,1744564224
2017/4/18 11:15,300,3482.85,3482.08,3483.61,3482.08,185270.8,1852710912
2017/4/18 11:10,300,3484.4,3483.21,3485.36,3482.94,201104.3,2011045888
2017/4/18 11:05,300,3485.67,3483.91,3485.86,3483.56,189684.24,1896845312
2017/4/18 11:00,300,3488.44,3485.39,3488.54,3485.29,237952.72,2379530240
2017/4/18 10:55,300,3488.5,3488.27,3488.85,3487.03,234151.24,2341515264
2017/4/18 10:50,300,3485.66,3488.65,3489.05,3485.66,269303.52,2693038080
2017/4/18 10:45,300,3483.24,3486.15,3486.15,3483.24,243058.84,2430590976
2017/4/18 10:40,300,3481.84,3483.08,3483.35,3481.06,238316.48,2383167488
2017/4/18 10:35,300,3482.78,3481.78,3483.65,3481.56,260233.36,2602336256
2017/4/18 10:30,300,3482.18,3482.35,3483.04,3481.63,287727.36,2877276160
2017/4/18 10:25,300,3479.56,3481.86,3482.66,3479.16,344520.44,3445207040
2017/4/18 10:20,300,3476.1,3479.38,3479.38,3475.44,284445.6,2844459008
2017/4/18 10:15,300,3477.93,3476.16,3478.29,3475.66,276902.64,2769029120
2017/4/18 10:10,300,3477.41,3478.07,3478.42,3477.31,299219.06,2992193536
2017/4/18 10:05,300,3478.53,3477.45,3479.03,3477.23,353090.48,3530907648
2017/4/18 10:00,300,3476.66,3478.54,3478.8,3476.56,315550.24,3155505152
