datetime,code,open,close,high,low,vol,amount
2017-03-30 14:05:00,000300,3439.15,3439.51,3440.28,3438.47,166321.86,1663221760.0
2017-03-30 14:00:00,000300,3441.37,3438.96,3441.72,3438.76,153969.16,1539694592.0
2017-03-30 13:55:00,000300,3441.83,3441.16,3441.83,3440.18,148928.64,1489289216.0
2017-03-30 13:50:00,000300,3439.23,3441.8,3442.52,3438.98,205014.36,2050146304.0
2017-03-30 13:45:00,000300,3433.15,3438.58,3438.58,3432.21,190063.12,1900634112.0
2017-03-30 13:40:00,000300,3434.0,3433.28,3434.33,3432.89,154056.0,1540562944.0
2017-03-30 13:35:00,000300,3434.52,3434.03,3435.14,3433.7,167101.76,1671020544.0
2017-03-30 13:30:00,000300,3432.56,3434.22,3434.65,3432.56,166112.17,1661124608.0
2017-03-30 13:25:00,000300,3431.13,3432.71,3432.9,3430.55,193285.04,1932853248.0
2017-03-30 13:20:00,000300,3427.5,3430.96,3431.79,3426.93,217144.26,2171445248.0
2017-03-30 13:15:00,000300,3424.82,3427.4,3427.4,3422.46,322290.2,3222904832.0
2017-03-30 13:10:00,000300,3430.32,3426.03,3430.32,3424.89,245575.4,2455756800.0
2017-03-30 13:05:00,000300,3430.27,3430.0,3430.72,3426.56,380961.36,3809615872.0
2017-03-30 11:30:00,000300,3439.22,3430.67,3439.76,3430.66,320331.04,3203313664.0
2017-03-30 11:25:00,000300,3442.09,3439.62,3442.18,3439.26,182775.1,1827753984.0
2017-03-30 11:20:00,000300,3445.14,3442.01,3445.63,3441.7,177695.68,1776959488.0
2017-03-30 11:15:00,000300,3442.69,3445.42,3446.39,3441.84,208239.14,2082394112.0
2017-03-30 11:10:00,000300,3441.74,3441.93,3442.75,3441.34,169359.88,1693601792.0
2017-03-30 11:05:00,000300,3442.52,3441.38,3442.55,3437.51,336661.44,3366617088.0
2017-03-30 11:00:00,000300,3448.35,3442.77,3448.35,3442.77,192621.92,1926221824.0
2017-03-30 10:55:00,000300,3451.57,3448.56,3451.57,3448.41,156194.9,1561952256.0
2017-03-30 10:50:00,000300,3452.9,3450.81,3453.25,3450.81,159638.88,1596391424.0
2017-03-30 10:45:00,000300,3448.0,3452.92,3453.3,3448.0,208222.36,2082226176.0
2017-03-30 10:40:00,000300,3445.58,3448.49,3448.49,3444.67,215683.22,2156834816.0
2017-03-30 10:35:00,000300,3447.07,3445.48,3447.07,3445.01,239483.84,2394841088.0
2017-03-30 10:30:00,000300,3444.86,3446.51,3447.02,3444.66,256187.72,2561880064.0
2017-03-30 10:25:00,000300,3450.69,3445.04,3450.69,3443.81,400756.04,4007563264.0
2017-03-30 10:20:00,000300,3454.67,3450.97,3454.67,3450.96,236186.32,2361866240.0
2017-03-30 10:15:00,000300,3454.76,3454.4,3454.76,3453.39,245629.04,2456293376.0
2017-03-30 10:10:00,000300,3455.77,3455.08,3456.13,3454.64,265789.52,2657898496.0
2017-03-30 10:05:00,000300,3450.58,3455.33,3455.53,3449.78,337128.72,3371290624.0
2017-03-30 10:00:00,000300,3455.11,3450.33,3455.11,3449.96,393174.76,3931750400.0
2017-03-30 09:55:00,000300,3460.82,3454.91,3461.05,3454.91,310380.16,3103804416.0
2017-03-30 09:50:00,000300,3457.88,3460.98,3461.97,3457.88,339880.96,3398812672.0
2017-03-30 09:45:00,000300,3459.31,3458.17,3459.31,3455.77,402207.04,4022073856.0
2017-03-30 09:40:00,000300,3466.56,3459.68,3467.13,3459.68,373574.04,3735742976.0
2017-03-30 09:35:00,000300,3461.62,3466.71,3466.71,3459.8,451626.36,4516267008.0
2017-03-29 15:00:00,000300,3465.7,3465.19,3465.87,3464.04,399736.52,3997368320.0
2017-03-29 14:55:00,000300,3467.77,3466.13,3468.4,3465.92,309927.64,3099279360.0
2017-03-29 14:50:00,000300,3470.37,3467.9,3470.6,3467.29,308329.44,3083296768.0
2017-03-29 14:45:00,000300,3476.48,3470.52,3477.16,3470.52,277663.44,2776637440.0
2017-03-29 14:40:00,000300,3476.74,3477.15,3477.42,3476.52,196919.0,1969192960.0
2017-03-29 14:35:00,000300,3475.85,3476.65,3477.03,3475.43,186043.34,1860435968.0
2017-03-29 14:30:00,000300,3474.43,3475.64,3475.9,3474.21,150113.19,1501134848.0
2017-03-29 14:25:00,000300,3473.17,3474.31,3474.55,3472.81,164607.32,1646075904.0
2017-03-29 14:20:00,000300,3473.72,3472.88,3473.88,3471.65,200412.92,2004131840.0
2017-03-29 14:15:00,000300,3479.18,3473.82,3479.18,3473.82,201445.1,2014453760.0
2017-03-29 14:10:00,000300,3479.14,3479.21,3479.55,3478.58,162292.24,1622925312.0
2017-03-29 14:05:00,000300,3478.74,3479.66,3480.0,3478.5,170318.8,1703190528.0
2017-03-29 14:00:00,000300,3477.67,3478.26,3478.8,3477.29,169351.28,1693515776.0
2017-03-29 13:55:00,000300,3479.19,3477.11,3479.19,3476.87,195926.14,1959264256.0
2017-03-29 13:50:00,000300,3481.05,3478.89,3481.7,3478.73,194780.88,1947811840.0
2017-03-29 13:45:00,000300,3480.91,3481.55,3481.78,3480.27,210734.0,2107342848.0
2017-03-29 13:40:00,000300,3480.26,3480.33,3481.0,3479.88,185592.72,1855930368.0
2017-03-29 13:35:00,000300,3482.63,3480.52,3482.63,3479.97,228459.8,2284601344.0
2017-03-29 13:30:00,000300,3482.0,3482.33,3483.06,3481.76,259067.58,2590679040.0
2017-03-29 13:25:00,000300,3481.69,3481.73,3481.9,3480.62,221830.08,2218303488.0
2017-03-29 13:20:00,000300,3479.0,3482.07,3482.07,3478.66,243201.76,2432020480.0
2017-03-29 13:15:00,000300,3476.73,3478.86,3479.05,3476.31,190050.84,1900511232.0
2017-03-29 13:10:00,000300,3480.15,3476.44,3480.15,3476.44,160010.76,1600110592.0
2017-03-29 13:05:00,000300,3479.35,3480.21,3481.67,3479.35,252945.32,2529456128.0
2017-03-29 11:30:00,000300,3478.01,3479.14,3479.14,3478.01,201046.88,2010472448.0
2017-03-29 11:25:00,000300,3477.65,3478.28,3478.68,3477.65,222084.44,2220847104.0
2017-03-29 11:20:00,000300,3475.15,3477.44,3477.79,3475.15,213815.84,2138161152.0
2017-03-29 11:15:00,000300,3471.33,3475.18,3475.33,3471.33,237288.76,2372890624.0
2017-03-29 11:10:00,000300,3468.26,3471.31,3471.62,3467.92,188142.92,1881432064.0
2017-03-29 11:05:00,000300,3469.04,3468.46,3469.47,3467.89,161979.28,1619795968.0
2017-03-29 11:00:00,000300,3469.17,3468.7,3469.96,3468.49,170493.64,1704939520.0
2017-03-29 10:55:00,000300,3466.97,3469.31,3469.44,3466.97,204087.04,2040872960.0
2017-03-29 10:50:00,000300,3463.91,3466.63,3466.97,3463.91,181279.24,1812795392.0
2017-03-29 10:45:00,000300,3464.42,3464.01,3464.99,3463.25,159216.99,1592172544.0
2017-03-29 10:40:00,000300,3463.59,3464.74,3465.52,3463.59,195560.36,1955606528.0
2017-03-29 10:35:00,000300,3457.23,3463.59,3463.91,3457.13,224771.8,2247720960.0
2017-03-29 10:30:00,000300,3457.82,3456.82,3458.0,3455.56,250247.72,2502479872.0
2017-03-29 10:25:00,000300,3459.91,3458.18,3460.04,3457.9,229471.12,2294714368.0
2017-03-29 10:20:00,000300,3458.01,3459.62,3460.35,3457.07,303752.28,3037526016.0
2017-03-29 10:15:00,000300,3466.3,3458.4,3466.4,3457.81,427596.8,4275970048.0
2017-03-29 10:10:00,000300,3469.36,3466.54,3469.8,3466.54,280546.18,2805465088.0
2017-03-29 10:05:00,000300,3469.95,3469.32,3470.19,3468.95,296135.6,2961358848.0
2017-03-29 10:00:00,000300,3470.98,3470.0,3471.75,3469.57,273561.72,2735620096.0
2017-03-29 09:55:00,000300,3470.41,3470.77,3472.14,3470.06,266584.2,2665844736.0
2017-03-29 09:50:00,000300,3467.94,3470.36,3470.36,3467.16,298195.24,2981955584.0
2017-03-29 09:45:00,000300,3473.82,3468.24,3474.14,3467.96,314254.32,3142546432.0
